TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3)
N,B,N,B,K,B,V,R,C,XY1,B
N,B,N,B,K,B,V,R,C,XY1,B
N,B,N,B,K,B,V,R,C,XY1,B
L,B,N,B,K,B,V,R,C,XY1,B
N,B,N,B,K,B,V,R,C,XY1,B
N,B,E,E,V,B,V,R,C,XY1,C
M,B,N,C,V,C,W,R,C,XY1,C
L,B,N,C,V,C,W,R,C,XY1,C
J,A,E,E,V,B,V,Q,C,XY1,B
J,A,E,E,V,B,V,Q,C,XY1,B
J,A,E,E,V,B,V,Q,C,XY1,B
L,B,N,B,T,C,V,R,B,XY1,B
L,B,N,B,T,C,V,R,B,XY1,B
O,B,E,E,T,B,V,R,C,XY1,B
N,B,E,E,T,B,V,R,C,XY1,B
O,B,E,E,T,B,V,R,C,XY1,B
N,A,N,E,T,B,V,R,B,XY2,B
N,A,N,E,T,B,V,R,B,XY2,B
N,A,N,E,T,B,V,R,B,XY2,B
N,A,N,E,T,B,V,R,B,XY2,B
L,A,N,B,V,E,V,R,B,XY1,B
N,A,N,B,V,E,V,R,B,XY1,B
L,A,N,B,V,E,V,R,B,XY1,B
N,A,N,B,V,E,V,R,B,XY1,B
N,A,E,E,V,B,V,R,C,XY1,B
L,A,E,E,V,B,V,R,C,XY1,B
N,A,E,E,V,B,V,R,C,XY1,B
N,A,E,E,V,B,V,R,C,XY1,B
N,A,E,E,V,B,V,R,C,XY1,B
L,A,E,E,V,B,V,R,C,XY1,B
N,B,E,E,V,C,V,R,C,XY1,B
N,B,E,E,V,C,V,R,C,XY1,B
L,B,E,C,V,C,V,R,C,XY1,C
M,B,E,C,V,C,V,R,C,XY1,C
M,B,E,C,V,C,V,R,C,XY1,C
L,B,E,C,V,C,V,R,C,XY1,C
N,A,N,B,V,B,V,R,B,XY1,B
O,A,N,B,V,B,V,R,B,XY1,B
N,A,N,B,V,B,V,R,B,XY1,B
L,A,N,B,V,B,V,R,B,XY1,B
O,A,N,B,V,B,V,R,B,XY1,B
N,A,N,B,V,B,V,R,B,XY1,B
L,A,N,B,V,B,V,R,B,XY1,B
O,A,N,B,V,B,V,R,B,XY1,B
N,A,N,B,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,Q,C,XY1,C
N,B,E,E,V,B,V,Q,C,XY1,C
N,A,N,E,V,B,V,Q,C,XY1,B
L,A,N,E,V,B,V,Q,C,XY1,B
N,A,N,E,V,B,V,Q,C,XY1,B
N,B,E,C,K,B,V,R,C,XY1,C
N,B,E,C,K,B,V,R,C,XY1,C
N,B,N,B,V,C,V,R,B,XY1,B
N,B,N,B,V,C,V,R,B,XY1,B
N,B,N,B,V,C,V,R,B,XY1,B
N,B,N,B,V,C,V,R,B,XY1,B
J,A,N,B,V,B,V,R,C,XY1,B
J,A,N,B,V,B,V,R,C,XY1,B
J,A,N,B,V,B,V,R,C,XY1,B
J,A,N,B,V,B,V,R,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
O,A,N,B,T,C,V,Q,C,XY1,B
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
N,B,N,C,T,B,V,R,C,XY1,C
N,B,N,C,T,B,V,R,C,XY1,C
O,B,N,C,T,B,V,R,C,XY1,C
O,B,N,C,T,B,V,R,C,XY1,C
J,A,N,E,V,C,V,Q,C,XY1,B
J,A,N,E,V,C,V,Q,C,XY1,B
J,A,N,E,V,C,V,Q,C,XY1,B
J,B,N,B,V,B,V,R,E,XY1,A
J,B,N,B,V,B,V,R,E,XY1,A
J,B,N,B,V,B,V,R,E,XY1,A
J,B,N,B,V,B,V,R,E,XY1,A
J,B,N,B,V,B,V,R,E,XY1,A
J,B,N,B,V,B,V,R,E,XY1,A
O,B,E,B,K,B,V,Q,C,XY1,A
N,B,E,B,K,B,V,Q,C,XY1,A
M,B,E,B,K,B,V,Q,C,XY1,A
M,B,N,B,V,C,V,R,C,XY1,C
L,B,N,B,V,C,V,R,C,XY1,C
M,B,N,B,V,C,V,R,C,XY1,C
L,B,N,B,V,C,V,R,C,XY1,C
N,B,E,B,V,B,V,R,E,XY1,A
O,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
N,B,E,B,V,B,V,R,E,XY1,A
M,B,E,B,V,B,V,R,E,XY1,A
O,B,N,C,T,C,V,R,C,XY1,C
N,B,N,C,T,C,V,R,C,XY1,C
O,B,N,C,T,C,V,R,C,XY1,C
N,B,N,C,T,C,V,R,C,XY1,C
N,B,E,C,K,C,V,R,C,XY1,C
N,B,E,C,K,C,V,R,C,XY1,C
O,B,E,C,K,C,V,R,C,XY1,C
O,B,E,C,K,C,V,R,C,XY1,C
N,B,E,C,K,C,V,R,C,XY1,C
J,B,N,B,K,B,V,R,C,XY1,C
J,B,N,B,K,B,V,R,C,XY1,C
J,B,N,B,K,B,V,R,C,XY1,C
O,B,E,C,T,B,V,R,C,XY1,C
O,B,E,C,T,B,V,R,C,XY1,C
O,B,E,C,T,B,V,R,C,XY1,C
L,B,E,B,V,C,W,R,C,XY1,C
L,B,E,B,V,C,W,R,C,XY1,C
L,B,E,B,V,C,W,R,C,XY1,C
L,B,E,B,V,C,W,R,C,XY1,C
O,B,E,B,V,B,V,R,C,XY2,A
L,B,E,C,V,B,V,R,C,XY1,C
M,B,E,C,V,B,V,R,C,XY1,C
O,B,E,B,V,B,V,R,C,XY1,A
N,B,E,B,V,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,K,B,V,R,C,XY1,A
N,B,N,B,K,B,W,Q,E,XY1,C
O,B,N,B,K,B,W,Q,E,XY1,C
O,B,N,B,K,B,W,Q,E,XY1,C
O,B,E,B,V,B,V,R,C,XY1,C
O,B,E,B,V,B,V,R,C,XY1,C
O,B,E,B,V,B,V,R,C,XY1,C
O,B,E,B,T,B,V,R,C,XY1,C
O,B,E,B,T,B,V,R,C,XY1,C
O,B,E,B,T,B,V,R,C,XY1,C
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
O,B,N,B,V,B,V,R,C,XY1,A
N,B,N,B,V,B,V,R,C,XY1,A
O,B,N,B,V,B,V,R,C,XY1,A
O,B,E,B,K,B,V,R,C,XY1,A
N,B,E,B,K,B,V,R,C,XY1,A
O,B,E,B,K,B,V,R,C,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
J,B,E,B,V,B,V,R,E,XY1,A
M,B,E,B,V,B,V,Q,E,XY1,A
O,B,E,B,V,B,V,Q,E,XY1,A
N,B,E,B,V,B,V,Q,E,XY1,A
M,B,E,B,V,B,V,Q,E,XY1,A
N,B,E,B,V,B,V,Q,E,XY1,A
M,B,E,B,V,B,V,Q,E,XY1,A
L,B,E,B,K,C,V,Q,E,XY2,A
O,B,E,B,K,C,V,Q,E,XY2,A
L,B,E,B,K,C,V,Q,E,XY2,A
O,B,E,B,K,C,V,Q,E,XY2,A
L,B,E,B,K,C,V,Q,E,XY2,A
O,B,E,B,K,C,V,Q,E,XY2,A
M,B,E,B,T,B,V,R,C,XY1,A
O,B,E,B,T,B,V,R,C,XY1,A
L,B,E,B,T,B,V,R,C,XY1,A
J,B,E,B,V,B,V,R,C,XY1,A
J,B,E,B,V,B,V,R,C,XY1,A
J,B,E,B,V,B,V,R,C,XY1,A
N,B,E,B,V,C,V,Q,C,XY2,A
M,B,E,B,V,C,V,Q,C,XY2,A
O,B,E,B,V,C,V,Q,C,XY2,A
M,B,N,B,K,B,V,R,E,XY1,A
L,B,N,B,K,B,V,R,E,XY1,A
O,B,N,B,K,B,V,R,E,XY1,A
M,B,N,B,K,B,V,R,E,XY1,A
O,B,N,B,K,B,V,R,E,XY1,A
M,B,N,B,K,B,V,R,E,XY1,A
O,B,N,B,K,B,V,R,E,XY1,A
L,B,N,B,K,B,V,R,E,XY1,A
L,B,N,B,K,B,V,R,E,XY1,A
M,B,E,B,T,B,V,R,C,XY2,A
L,B,E,B,T,B,V,R,C,XY2,A
J,B,N,B,K,B,V,R,C,XY2,A
N,B,N,B,T,B,V,R,C,XY2,A
L,B,N,B,T,B,V,R,C,XY2,A
O,B,N,B,T,B,V,R,C,XY2,A
L,B,N,B,T,B,V,R,C,XY2,A
N,B,N,B,T,B,V,R,C,XY2,A
L,B,N,B,T,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,V,A,W,R,C,XY2,A
J,B,E,B,V,A,W,R,C,XY2,A
J,B,E,B,V,A,W,R,C,XY2,A
J,B,E,B,V,A,W,R,C,XY2,A
L,B,E,B,K,C,V,R,C,XY2,A
O,B,E,B,K,C,V,R,C,XY2,A
L,B,E,B,K,C,V,R,C,XY2,A
L,B,N,B,V,B,V,R,C,XY2,A
N,B,N,B,V,B,V,R,C,XY2,A
L,B,N,B,V,B,V,R,C,XY2,A
N,B,N,B,V,B,V,R,C,XY2,A
L,B,N,B,V,B,V,R,C,XY2,A
N,B,N,B,V,B,V,R,C,XY2,A
